ShowID;"Show name";"Model ID";"Model Name";Collection;"Release date";Set
a1223;"Safari Darling";830;Ines;"iStripper Classic";2013-01-04;http://g.isbnrs.com/a1223.zip
a1222;"Shake Shake Shake";829;"Linet A";"iStripper Classic";2013-01-11;http://g.isbnrs.com/a1222.zip
a1221;Creampuff;829;"Linet A";"iStripper Classic";2012-12-28;http://g.isbnrs.com/a1221.zip
a1220;"Hot Rod Girl";829;"Linet A";"iStripper Classic";2012-12-14;http://g.isbnrs.com/a1220.zip
a1219;"Trophy Wife";829;"Linet A";"iStripper Classic";2012-12-07;http://g.isbnrs.com/a1219.zip
a1218;"Lemon Fresh";829;"Linet A";"iStripper Classic";2012-11-23;http://g.isbnrs.com/a1218.zip
a1217;"Bumble Bee";829;"Linet A";"iStripper Classic";2012-11-09;http://g.isbnrs.com/a1217.zip
a1216;"Mardi Gras";827;"Leyla Black";"iStripper Classic";2012-11-09;http://g.isbnrs.com/a1216.zip
a1215;"Desert Mirage";827;"Leyla Black";"iStripper Classic";2012-12-14;http://g.isbnrs.com/a1215.zip
a1214;"Colorful Cutie";827;"Leyla Black";"iStripper Classic";2013-01-04;http://g.isbnrs.com/a1214.zip
a1213;"Opening Night";827;"Leyla Black";"iStripper Classic";2012-11-16;http://g.isbnrs.com/a1213.zip
a1212;"Spanish Nurse";827;"Leyla Black";"iStripper Classic";2012-12-28;http://g.isbnrs.com/a1212.zip
a1211;"Ice Cream Sundae";827;"Leyla Black";"iStripper Classic";2012-11-30;http://g.isbnrs.com/a1211.zip
a1210;"Flaunt It";826;"Cherry Kiss";"iStripper Classic";2012-11-30;http://g.isbnrs.com/a1210.zip
a1209;"Very Cherry";826;"Cherry Kiss";"iStripper Classic";2012-10-26;http://g.isbnrs.com/a1209.zip
a1208;"Southern Picnic";826;"Cherry Kiss";"iStripper Classic";2012-11-16;http://g.isbnrs.com/a1208.zip
a1207;"Cheating Housewife";826;"Cherry Kiss";"iStripper Classic";2012-11-02;http://g.isbnrs.com/a1207.zip
a1206;"Cherry Kisses";826;"Cherry Kiss";"iStripper Classic";2012-12-28;http://g.isbnrs.com/a1206.zip
a1205;"Coral Sunset";826;"Cherry Kiss";"iStripper Classic";2012-11-23;http://g.isbnrs.com/a1205.zip
a1204;"Let's Role Play";825;Lynette;"iStripper Classic";2012-11-23;http://g.isbnrs.com/a1204.zip
a1203;"Queen Of Hearts";825;Lynette;"iStripper Classic";2012-12-21;http://g.isbnrs.com/a1203.zip
a1202;"You'll Love Her Cookies";825;Lynette;"iStripper Classic";2012-12-07;http://g.isbnrs.com/a1202.zip
a1201;"Bedrock Babe";825;Lynette;"iStripper Classic";2012-11-09;http://g.isbnrs.com/a1201.zip
a1200;"Feeling Feisty";825;Lynette;"iStripper Classic";2012-11-02;http://g.isbnrs.com/a1200.zip
a1199;"Hawaiian Luau ";825;Lynette;"iStripper Classic";2012-10-26;http://g.isbnrs.com/a1199.zip
a1198;"Spice It Up";580;Valentina;"iStripper Classic";2012-11-16;http://g.isbnrs.com/a1198.zip
a1197;"Nightie and Stilettos";580;Valentina;"iStripper Classic";2012-10-19;http://g.isbnrs.com/a1197.zip
a1196;"Too Hot To Handle";580;Valentina;"iStripper Classic";2012-11-23;http://g.isbnrs.com/a1196.zip
a1195;"Naughty TuTu";580;Valentina;"iStripper Classic";2012-11-30;http://g.isbnrs.com/a1195.zip
a1194;"Red Riding Hood";580;Valentina;"iStripper Classic";2012-11-09;http://g.isbnrs.com/a1194.zip
a1193;"First Date";580;Valentina;"iStripper Classic";2012-12-21;http://g.isbnrs.com/a1193.zip
a1192;Scandalous;806;"Ella Mai";"iStripper Classic";2012-10-26;http://g.isbnrs.com/a1192.zip
a1191;"Long and Lean";806;"Ella Mai";"iStripper Classic";2012-10-19;http://g.isbnrs.com/a1191.zip
a1190;"Sexy Swimsuit";806;"Ella Mai";"iStripper Classic";2012-11-23;http://g.isbnrs.com/a1190.zip
a1189;"Cadette In Training";806;"Ella Mai";"iStripper Classic";2012-11-16;http://g.isbnrs.com/a1189.zip
a1188;Seductress;806;"Ella Mai";"iStripper Classic";2012-11-02;http://g.isbnrs.com/a1188.zip
a1187;"Busty And Lusty";806;"Ella Mai";"iStripper Classic";2012-11-30;http://g.isbnrs.com/a1187.zip
a1186;"Make Me Roar";718;"Alyssia Loop";"iStripper Classic";2012-10-12;http://g.isbnrs.com/a1186.zip
a1185;"Ready To Party";718;"Alyssia Loop";"iStripper Classic";2012-11-09;http://g.isbnrs.com/a1185.zip
a1184;"Sexy And I Know It";718;"Alyssia Loop";"iStripper Classic";2012-11-30;http://g.isbnrs.com/a1184.zip
a1183;"Peek A Boo";718;"Alyssia Loop";"iStripper Classic";2012-09-14;http://g.isbnrs.com/a1183.zip
a1182;"Ready For Fun";718;"Alyssia Loop";"iStripper Classic";2012-11-02;http://g.isbnrs.com/a1182.zip
a1181;"Naughty Librarian";718;"Alyssia Loop";"iStripper Classic";2012-09-28;http://g.isbnrs.com/a1181.zip
a1180;"Business And Pleasure";787;Miela;"iStripper Classic";2012-09-14;http://g.isbnrs.com/a1180.zip
a1179;"Personal Assistant";787;Miela;"iStripper Classic";2012-10-12;http://g.isbnrs.com/a1179.zip
a1178;"Come And Get It";787;Miela;"iStripper Classic";2012-10-12;http://g.isbnrs.com/a1178.zip
a1177;"Stylish in red";787;Miela;"iStripper Classic";2012-10-19;http://g.isbnrs.com/a1177.zip
a1176;"Sexy Personified";787;Miela;"iStripper Classic";2012-09-21;http://g.isbnrs.com/a1176.zip
a1175;"Blonde Ambition";787;Miela;"iStripper Classic";2012-11-02;http://g.isbnrs.com/a1175.zip
a1174;"Caramel Candy";786;"Isabella Chrystin";"iStripper Classic";2012-10-12;http://g.isbnrs.com/a1174.zip
a1173;"Sexy Angel";786;"Isabella Chrystin";"iStripper Classic";2012-08-17;http://g.isbnrs.com/a1173.zip
a1172;"Tanned Beauty";786;"Isabella Chrystin";"iStripper Classic";2012-09-21;http://g.isbnrs.com/a1172.zip
a1171;"Beach Beauty";786;"Isabella Chrystin";"iStripper Classic";2012-09-28;http://g.isbnrs.com/a1171.zip
a1170;"Spicy Diva";786;"Isabella Chrystin";"iStripper Classic";2012-09-07;http://g.isbnrs.com/a1170.zip
a1169;"Hot Date";786;"Isabella Chrystin";"iStripper Classic";2012-10-26;http://g.isbnrs.com/a1169.zip
a1168;"Erotic Goth Diva";775;Star;"iStripper Classic";2012-10-05;http://g.isbnrs.com/a1168.zip
a1167;"Body Art Diva";775;Star;"iStripper Classic";2012-08-10;http://g.isbnrs.com/a1167.zip
a1166;"Biker Babe";775;Star;"iStripper Classic";2012-09-28;http://g.isbnrs.com/a1166.zip
a1165;"Lady In Red";775;Star;"iStripper Classic";2012-09-14;http://g.isbnrs.com/a1165.zip
a1164;"Can You Handle It";775;Star;"iStripper Classic";2012-10-19;http://g.isbnrs.com/a1164.zip
a1163;"Toga Party";775;Star;"iStripper Classic";2012-08-31;http://g.isbnrs.com/a1163.zip
a1162;"Geisha Goddess ";774;"Maya Mai";"iStripper Classic";2012-09-14;http://g.isbnrs.com/a1162.zip
a1161;"Go Go Girl";774;"Maya Mai";"iStripper Classic";2012-08-03;http://g.isbnrs.com/a1161.zip
a1160;"Farm Girl";774;"Maya Mai";"iStripper Classic";2012-08-31;http://g.isbnrs.com/a1160.zip
a1159;"Pink Flower";774;"Maya Mai";"iStripper Classic";2012-09-28;http://g.isbnrs.com/a1159.zip
a1158;"Sweet lolita";774;"Maya Mai";"iStripper Classic";2012-10-05;http://g.isbnrs.com/a1158.zip
a1157;"Back to school";774;"Maya Mai";"iStripper Classic";2012-08-17;http://g.isbnrs.com/a1157.zip
a1156;"Night Owl";765;"Claire Castel";"iStripper Classic";2012-09-07;http://g.isbnrs.com/a1156.zip
a1155;"Tiny Dancer";765;"Claire Castel";"iStripper Classic";2012-10-05;http://g.isbnrs.com/a1155.zip
a1154;"Fantasy Girl";765;"Claire Castel";"iStripper Classic";2012-08-10;http://g.isbnrs.com/a1154.zip
a1153;"Diva Dom";765;"Claire Castel";"iStripper Classic";2012-08-24;http://g.isbnrs.com/a1153.zip
a1152;"Blow Your Bugle";765;"Claire Castel";"iStripper Classic";2012-09-21;http://g.isbnrs.com/a1152.zip
a1151;"Classic Beauty";765;"Claire Castel";"iStripper Classic";2012-07-27;http://g.isbnrs.com/a1151.zip
a1150;"Summer Flower";751;Conny;"iStripper Classic";2012-10-05;http://g.isbnrs.com/a1150.zip
a1149;"Girlfriend Material";751;Conny;"iStripper Classic";2012-07-20;http://g.isbnrs.com/a1149.zip
a1148;Sunshine;751;Conny;"iStripper Classic";2012-09-07;http://g.isbnrs.com/a1148.zip
a1147;"Ruby Jewel";751;Conny;"iStripper Classic";2012-09-21;http://g.isbnrs.com/a1147.zip
a1146;"Little Red Riding Hood";751;Conny;"iStripper Classic";2012-08-03;http://g.isbnrs.com/a1146.zip
a1145;"Fun In The Sun";751;Conny;"iStripper Classic";2012-08-17;http://g.isbnrs.com/a1145.zip
a1144;"Thrill Seeker";737;"Miss Ruth";"iStripper Classic";2012-07-27;http://g.isbnrs.com/a1144.zip
a1143;"Customs Inspector";737;"Miss Ruth";"iStripper Classic";2012-09-14;http://g.isbnrs.com/a1143.zip
a1142;"Coy Sex Toy";737;"Miss Ruth";"iStripper Classic";2012-07-13;http://g.isbnrs.com/a1142.zip
